Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
K1W8_FS10-11+Gap15+CD,485,101850,13307.0,13.07,162,33.4,711.0,210.0
K1W8_KEE+MidLate+Wet,364,76440,9800.0,12.82,98,26.92,880.0,210.0
K1W8_FS10-12+Gap15+CD,712,149520,4079.0,2.73,208,29.21,738.0,210.0
K1W8_KEE+BigPool+Wet,474,99540,2372.0,2.38,122,25.74,835.0,210.0
K1W8_KEE+Wet,498,104580,1668.0,1.6,129,25.9,824.0,210.0
K1W8_FS10-11+Dirt+CD,1381,290010,-745.0,-0.26,324,23.46,893.0,210.0
K1W8_KEE+Dirt+Gap15,571,119910,-705.0,-0.59,201,35.2,593.0,210.0
K1W8_FS10-12+Dirt+CD,2058,432180,-6621.0,-1.53,432,20.99,985.0,210.0
K1W8_KEE+FS10-11+Dirt,774,162540,-2845.0,-1.75,174,22.48,918.0,210.0
K1W8_FavVStr+FS10-11+Dirt,704,147840,-3676.0,-2.49,306,43.47,471.0,210.0
K1W8_FS10-11+MidLate+CD,1541,323610,-11885.0,-3.67,347,22.52,898.0,210.0
K1W8_KEE+Sprint+BigPool,1396,293160,-14216.0,-4.85,363,26.0,768.0,210.0
K1W8_FS10-12+MidLate+CD,2283,479430,-23659.0,-4.93,468,20.5,974.0,210.0
K1W8_CD_FS10-11,1915,402150,-21924.0,-5.45,433,22.61,878.0,210.0
K1W8_FS10-12+FS10-11+CD,1915,402150,-21924.0,-5.45,433,22.61,878.0,210.0
K1W8_CD+FS10-11,1915,402150,-21924.0,-5.45,433,22.61,878.0,210.0
K1W8_KEE+FS10-12+Gap15,475,99750,-5542.0,-5.56,116,24.42,812.0,210.0
K1W8_BigPool+Gap15+CD,986,207060,-11663.0,-5.63,347,35.19,563.0,210.0
K1W8_KEE+FS10-11+BigPool,1068,224280,-13146.0,-5.86,235,22.0,898.0,210.0
K1W8_KEE+FS10-11+Sprint,595,124950,-7352.0,-5.88,137,23.03,858.0,210.0
K1W8_FS10-12+FavVStr+Dirt,894,187740,-11130.0,-5.93,360,40.27,491.0,210.0
