Strategy,FullROI%,Races,PosYears,Boot_CI_Lo,Boot_CI_Hi,Boot_P_Pos,F1_Train,F1_Test,F1_TestN,F2_Train,F2_Test,F2_TestN,F3_Train,F3_Test,F3_TestN,Perm_pval
K1W9_KEE_Wet_FS8-10_Gap0.00_CardLate,29.31,77,5/13,-35.4,120.7,0.794,-10.2,-34.5,33,-27.2,74.0,43,-44.6,122.4,29,0.994
K1W7_KEE_Wet_FS9-11_Gap0.00_CardLate,26.72,121,6/14,-28.9,92.7,0.8,-17.2,57.4,51,24.7,28.2,69,38.4,16.4,45,1.0
K1W8_KEE_Wet_FS9-11_Gap0.00_CardLate,25.34,121,9/14,-31.8,102.7,0.762,6.4,25.0,51,17.7,31.1,69,8.9,36.2,45,1.0
K1W7_KEE_Wet_FS9-11_Gap0.06_CardLate,24.58,78,5/14,-38.1,101.8,0.737,-32.5,38.0,36,20.3,28.4,41,28.0,38.4,27,1.0
K1W8_KEE_Wet_FS9-11_Gap0.00_CardMid+,22.0,186,7/14,-21.2,77.0,0.819,27.8,4.5,73,16.8,25.7,109,3.6,36.0,76,1.0
K1W7_KEE_Wet_FS10-13_Gap0.00_CardLate,19.89,152,9/14,-31.0,78.7,0.751,-22.3,80.3,45,21.9,18.4,87,35.4,6.2,63,
K1W9_KEE_Wet_FS8-10_Gap0.00_CardMid+,19.4,118,4/13,-29.0,82.7,0.765,-15.5,-32.2,48,-22.2,51.0,67,-41.3,91.5,46,
K1W8_KEE_Wet_FS8-10_Gap0.00_CardLate,17.97,110,6/13,-42.7,103.0,0.669,6.8,-8.4,44,-7.7,39.3,60,-22.5,53.1,41,
K1W8_KEE_Wet_FS0-99_Gap0.00_CardLate,17.85,232,8/14,-22.4,66.8,0.782,17.6,-9.8,81,8.1,25.5,130,2.7,42.6,91,
K1W7_KEE_Wet_FS8-10_Gap0.00_CardLate,16.15,110,5/13,-38.8,82.1,0.677,-16.6,18.1,44,-23.0,48.7,60,-0.1,34.1,41,
K1W7_CD_FS10-11_Gap0.30,15.67,92,7/15,-27.8,65.8,0.749,16.7,23.4,36,18.1,13.4,47,25.2,2.7,24,
K1W7_KEE_Wet_FS8-10_Gap0.00_CardMid+,15.05,175,5/13,-27.1,66.1,0.748,4.8,8.8,73,-11.6,37.0,96,-1.2,28.3,64,
K1W7_KEE_Wet_FS10-13_Gap0.06_CardLate,14.99,93,7/14,-43.9,85.6,0.66,-38.7,58.1,28,15.2,14.8,54,17.7,19.9,39,
K1W8_CD_FS10-11_Gap0.30,14.93,92,6/15,-19.0,56.7,0.801,5.2,3.7,36,-0.8,29.9,47,2.1,44.8,24,
K1W8_KEE_Wet_FS8-13_Gap0.00_CardLate,14.68,225,8/14,-24.8,63.2,0.729,-4.9,-3.9,76,-4.2,29.5,126,-5.8,42.6,91,
K1W8_KEE_Wet_FS10-13_Gap0.06_CardLate,14.15,93,7/14,-39.0,75.9,0.674,-4.5,-9.7,28,6.1,19.9,54,6.5,43.7,39,
K1W8_CD_FS10-11_Gap0.15,13.07,485,8/15,-9.4,39.3,0.866,2.2,-0.5,192,5.5,23.1,208,-8.6,49.5,122,
K1W8_KEE_Wet_FS0-99_Gap0.00_CardMid+,12.82,364,6/14,-16.2,46.9,0.793,18.9,-21.2,133,-2.3,23.6,212,-8.8,40.0,148,
K1W8_CD_FS10-11_Gap0.10,12.66,797,10/15,-13.6,48.0,0.802,29.3,-5.2,310,12.9,12.3,334,16.5,16.1,195,
K1W7_KEE_Wet_FS9-11_Gap0.00_CardMid+,12.16,186,6/14,-28.6,58.9,0.699,-27.9,39.9,73,10.2,13.5,109,25.0,5.0,76,
K1W8_KEE_Wet_FS8-13_Gap0.00_CardMid+,11.66,354,6/14,-17.6,46.5,0.78,4.1,-16.8,126,-10.1,27.2,206,-12.8,40.0,148,
K1W8_KEE_Wet_FS8-10_Gap0.00_CardMid+,11.52,175,5/13,-33.4,66.8,0.667,18.4,-14.0,73,-9.4,28.8,96,-23.4,36.6,64,
K1W7_KEE_Wet_FS10-12_Gap0.00_CardLate,11.48,149,8/14,-36.8,66.5,0.658,-20.5,84.4,44,25.7,1.0,86,37.6,-18.1,62,
K1W7_CD_FS10-11_Gap0.10,11.41,797,7/15,-22.6,64.2,0.649,65.0,-25.8,310,28.8,-12.7,334,23.0,-9.8,195,
K1W8_KEE_Wet_FS10-13_Gap0.00_CardLate,10.92,152,9/14,-31.8,58.8,0.668,-19.9,19.2,45,-6.2,23.7,87,14.5,26.5,63,
K1W8_KEE_Wet_FS10-13_Gap0.00_CardMid+,9.56,235,10/14,-23.1,45.4,0.698,-6.9,-6.7,71,-5.4,19.0,144,0.8,29.5,106,
K1W8_CD_FS10-11_Gap0.16,9.34,445,7/15,-12.3,35.1,0.786,7.0,-4.1,174,10.2,8.2,197,-10.7,32.9,115,
K1W8_CD_FS10-11_Gap0.25,9.19,191,8/15,-19.3,42.7,0.713,1.3,-16.1,78,-8.7,28.5,92,-15.1,59.8,49,
K1W8_CD_FS10-12_Gap0.10,7.59,1156,9/15,-12.5,32.3,0.741,23.7,-8.6,446,7.9,7.2,475,6.2,8.4,275,
K1W8_KEE_Wet_FS10-12_Gap0.00_CardMid+,7.0,232,9/14,-24.9,42.1,0.654,-5.3,-5.4,70,-3.3,13.4,143,1.9,21.9,105,
