Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace,PosYears
K1W9_KEE_Wet_FS8-10_Gap0.00_CardLate,77,25872,7584.0,29.31,31,40.26,1079.0,336.0,5/13
K1W7_KEE_Wet_FS9-11_Gap0.00_CardLate,121,14520,3880.0,26.72,29,23.97,634.0,120.0,6/14
K1W8_KEE_Wet_FS9-11_Gap0.00_CardLate,121,25410,6438.0,25.34,36,29.75,885.0,210.0,9/14
K1W7_KEE_Wet_FS9-11_Gap0.06_CardLate,78,9360,2300.0,24.58,22,28.21,530.0,120.0,5/14
K1W8_KEE_Wet_FS9-11_Gap0.00_CardMid+,186,39060,8594.0,22.0,53,28.49,899.0,210.0,7/14
K1W7_KEE_Wet_FS10-13_Gap0.00_CardLate,152,18240,3629.0,19.89,25,16.45,875.0,120.0,9/14
K1W9_KEE_Wet_FS8-10_Gap0.00_CardMid+,118,39648,7693.0,19.4,45,38.14,1052.0,336.0,4/13
K1W8_KEE_Wet_FS8-10_Gap0.00_CardLate,110,23100,4151.0,17.97,35,31.82,779.0,210.0,6/13
K1W8_KEE_Wet_FS0-99_Gap0.00_CardLate,232,48720,8698.0,17.85,60,25.86,957.0,210.0,8/14
K1W7_KEE_Wet_FS8-10_Gap0.00_CardLate,110,13200,2132.0,16.15,29,26.36,529.0,120.0,5/13
K1W7_CD_FS10-11_Gap0.30,92,11040,1730.0,15.67,33,35.87,387.0,120.0,7/15
K1W7_KEE_Wet_FS8-10_Gap0.00_CardMid+,175,21000,3160.0,15.05,48,27.43,503.0,120.0,5/13
K1W7_KEE_Wet_FS10-13_Gap0.06_CardLate,93,11160,1673.0,14.99,17,18.28,755.0,120.0,7/14
K1W8_CD_FS10-11_Gap0.30,92,19320,2884.0,14.93,46,50.0,483.0,210.0,6/15
K1W8_KEE_Wet_FS8-13_Gap0.00_CardLate,225,47250,6935.0,14.68,59,26.22,918.0,210.0,8/14
K1W8_KEE_Wet_FS10-13_Gap0.06_CardLate,93,19530,2764.0,14.15,23,24.73,969.0,210.0,7/14
K1W8_CD_FS10-11_Gap0.15,485,101850,13307.0,13.07,162,33.4,711.0,210.0,8/15
K1W8_CD_FS10-11_Gap0.15,485,101850,13307.0,13.07,162,33.4,711.0,210.0,8/15
K1W8_KEE_Wet_FS0-99_Gap0.00_CardMid+,364,76440,9800.0,12.82,98,26.92,880.0,210.0,6/14
K1W8_CD_FS10-11_Gap0.10,797,167370,21181.0,12.66,236,29.61,799.0,210.0,10/15
K1W8_CD_FS10-11_Gap0.10,797,167370,21181.0,12.66,236,29.61,799.0,210.0,10/15
K1W7_KEE_Wet_FS9-11_Gap0.00_CardMid+,186,22320,2714.0,12.16,41,22.04,611.0,120.0,6/14
K1W8_KEE_Wet_FS8-13_Gap0.00_CardMid+,354,74340,8668.0,11.66,97,27.4,856.0,210.0,6/14
K1W8_KEE_Wet_FS8-10_Gap0.00_CardMid+,175,36750,4234.0,11.52,57,32.57,719.0,210.0,5/13
K1W7_KEE_Wet_FS10-12_Gap0.00_CardLate,149,17880,2053.0,11.48,24,16.11,831.0,120.0,8/14
K1W7_CD_FS10-11_Gap0.10,797,95640,10911.0,11.41,175,21.96,609.0,120.0,7/15
K1W8_KEE_Wet_FS10-13_Gap0.00_CardLate,152,31920,3485.0,10.92,33,21.71,1073.0,210.0,9/14
K12W10_KEE_Gap0.15,493,55216,5688.0,10.3,73,14.81,834.0,112.0,6/15
K1W8_KEE_Wet_FS10-13_Gap0.00_CardMid+,235,49350,4716.0,9.56,54,22.98,1001.0,210.0,10/14
K1W8_CD_FS10-11_Gap0.16,445,93450,8731.0,9.34,149,33.48,686.0,210.0,7/15
