Strategy,TrackScope,K,Races,Wagered,Returned,Profit,ROI%,Hits,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears,Gap,FavMin,FS,Cond,Card
K1W7_BEL_FS10-12_Gap0.20_Fav0.40_all_late,BEL,7,84,10080,14160.05,4080.05,40.48,31,36.9,456.78,0.53,336.08,74,10,6/13,0.2,0.4,10-12,all,late
K1W7_BEL_FS10-12_Gap0.18_Fav0.40_all_late,BEL,7,85,10200,14160.05,3960.05,38.82,31,36.47,456.78,-0.81,336.08,75,10,6/13,0.18,0.4,10-12,all,late
K1W7_BEL_FS10-12_Gap0.10_Fav0.40_all_late,BEL,7,86,10320,14160.05,3840.05,37.21,31,36.05,456.78,-2.12,336.08,76,10,6/13,0.1,0.4,10-12,all,late
K1W7_BEL_FS10-12_Gap0.12_Fav0.40_all_late,BEL,7,86,10320,14160.05,3840.05,37.21,31,36.05,456.78,-2.12,336.08,76,10,6/13,0.12,0.4,10-12,all,late
K1W7_BEL_FS10-12_Gap0.15_Fav0.40_all_late,BEL,7,86,10320,14160.05,3840.05,37.21,31,36.05,456.78,-2.12,336.08,76,10,6/13,0.15,0.4,10-12,all,late
K1W7_BEL_FS10-13_Gap0.20_Fav0.40_all_late,BEL,7,85,10200,14160.05,3960.05,38.82,31,36.47,456.78,0.53,296.44,74,11,6/13,0.2,0.4,10-13,all,late
K1W7_BEL_FS10-13_Gap0.18_Fav0.40_all_late,BEL,7,86,10320,14160.05,3840.05,37.21,31,36.05,456.78,-0.81,296.44,75,11,6/13,0.18,0.4,10-13,all,late
K1W7_BEL_FS10-13_Gap0.10_Fav0.40_all_late,BEL,7,87,10440,14160.05,3720.05,35.63,31,35.63,456.78,-2.12,296.44,76,11,6/13,0.1,0.4,10-13,all,late
K1W7_BEL_FS10-13_Gap0.12_Fav0.40_all_late,BEL,7,87,10440,14160.05,3720.05,35.63,31,35.63,456.78,-2.12,296.44,76,11,6/13,0.12,0.4,10-13,all,late
K1W7_BEL_FS10-13_Gap0.15_Fav0.40_all_late,BEL,7,87,10440,14160.05,3720.05,35.63,31,35.63,456.78,-2.12,296.44,76,11,6/13,0.15,0.4,10-13,all,late
K1W7_BEL_FS10-11_Gap0.18_Fav0.00_fast_late,BEL,7,90,10800,15583.75,4783.75,44.29,33,36.67,472.23,3.95,283.28,77,13,7/13,0.18,0.0,10-11,fast,late
K1W7_BEL_FS10-11_Gap0.15_Fav0.35_fast_late,BEL,7,88,10560,14012.25,3452.25,32.69,31,35.23,452.01,-10.74,283.28,75,13,7/13,0.15,0.35,10-11,fast,late
K1W7_BEL_FS10-11_Gap0.12_Fav0.35_fast_late,BEL,7,90,10800,14012.25,3212.25,29.74,31,34.44,452.01,-13.06,283.28,77,13,7/13,0.12,0.35,10-11,fast,late
