Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W7_BEL_FS11-13_Gap0.22_Fav0.35_fast_midlate,7,BEL,11-13,0.22,0.35,fast,midlate,85,26,134.92,30.59,921.62,117.2,242.71,10/13,0.769,192.11,258.2
K1W7_BEL_FS11-14_Gap0.22_Fav0.35_fast_midlate,7,BEL,11-14,0.22,0.35,fast,midlate,86,26,132.19,30.23,921.62,114.27,242.71,10/13,0.769,192.11,254.9
K1W7_BEL_FS11-12_Gap0.22_Fav0.35_fast_midlate,7,BEL,11-12,0.22,0.35,fast,midlate,81,25,126.12,30.86,879.15,102.9,273.86,10/13,0.769,73.54,246.7
K1W8_BEL_FS11-12_Gap0.22_Fav0.40_fast_midlate,8,BEL,11-12,0.22,0.4,fast,midlate,61,27,105.26,44.26,973.86,84.45,265.82,10/13,0.769,95.14,159.2
K1W8_BEL_FS11-12_Gap0.20_Fav0.40_fast_midlate,8,BEL,11-12,0.2,0.4,fast,midlate,62,28,103.17,45.16,944.72,84.45,229.49,10/13,0.769,55.26,154.5
K1W8_BEL_FS11-12_Gap0.15_Fav0.40_fast_midlate,8,BEL,11-12,0.15,0.4,fast,midlate,63,28,99.94,44.44,944.72,81.1,229.49,10/13,0.769,55.26,152.4
K1W8_BEL_FS11-12_Gap0.05_Fav0.40_fast_midlate,8,BEL,11-12,0.05,0.4,fast,midlate,64,29,97.38,45.31,914.75,78.5,229.49,10/13,0.769,55.26,150.9
K1W8_BEL_FS11-12_Gap0.10_Fav0.40_fast_midlate,8,BEL,11-12,0.1,0.4,fast,midlate,64,29,97.38,45.31,914.75,78.5,229.49,10/13,0.769,55.26,150.9
K1W7_BEL_FS11-13_Gap0.20_Fav0.35_all_midlate,7,BEL,11-13,0.2,0.35,all,midlate,124,38,93.96,30.65,759.49,80.1,170.54,10/13,0.769,59.58,125.8
K1W7_BEL_FS11-14_Gap0.20_Fav0.35_all_midlate,7,BEL,11-14,0.2,0.35,all,midlate,126,38,90.88,30.16,759.49,76.73,170.54,10/13,0.769,59.58,123.0
K1W7_BEL_FS11-13_Gap0.20_Fav0.00_all_midlate,7,BEL,11-13,0.2,0.0,all,midlate,133,40,87.68,30.08,748.85,70.36,175.05,10/13,0.769,137.33,114.0
K1W7_BEL_FS11-13_Gap0.20_Fav0.30_all_midlate,7,BEL,11-13,0.2,0.3,all,midlate,133,40,87.68,30.08,748.85,70.36,175.05,10/13,0.769,137.33,114.0
K1W8_BEL_FS11-13_Gap0.22_Fav0.35_fast_midlate,8,BEL,11-13,0.22,0.35,fast,midlate,85,33,87.46,38.82,1013.99,83.2,113.39,10/13,0.769,95.14,141.6
K1W7_BEL_FS11-12_Gap0.20_Fav0.35_all_midlate,7,BEL,11-12,0.2,0.35,all,midlate,120,37,86.65,30.83,726.41,69.19,185.57,10/13,0.769,48.89,118.2
K1W8_BEL_FS11-14_Gap0.22_Fav0.35_fast_midlate,8,BEL,11-14,0.22,0.35,fast,midlate,86,33,85.28,38.37,1013.99,80.72,113.39,10/13,0.769,72.74,139.7
K1W7_BEL_FS11-14_Gap0.20_Fav0.00_all_midlate,7,BEL,11-14,0.2,0.0,all,midlate,135,40,84.9,29.63,748.85,67.35,175.05,10/13,0.769,117.31,112.2
K1W7_BEL_FS11-14_Gap0.20_Fav0.30_all_midlate,7,BEL,11-14,0.2,0.3,all,midlate,135,40,84.9,29.63,748.85,67.35,175.05,10/13,0.769,117.31,112.2
K1W7_BEL_FS11-13_Gap0.20_Fav0.35_all_all,7,BEL,11-13,0.2,0.35,all,all,151,49,82.24,32.45,673.91,75.75,114.96,10/13,0.769,61.6,101.5
K1W7_BEL_FS11-12_Gap0.20_Fav0.00_all_midlate,7,BEL,11-12,0.2,0.0,all,midlate,128,39,82.1,30.47,717.19,61.28,188.15,10/13,0.769,48.89,107.7
K1W7_BEL_FS11-12_Gap0.20_Fav0.30_all_midlate,7,BEL,11-12,0.2,0.3,all,midlate,128,39,82.1,30.47,717.19,61.28,188.15,10/13,0.769,48.89,107.7
K1W7_BEL_FS11-13_Gap0.15_Fav0.35_all_midlate,7,BEL,11-13,0.15,0.35,all,midlate,152,43,81.9,28.29,771.58,63.73,174.18,10/13,0.769,28.51,101.4
K1W7_BEL_FS11-14_Gap0.20_Fav0.35_all_all,7,BEL,11-14,0.2,0.35,all,all,153,49,79.86,32.03,673.91,73.0,114.96,10/13,0.769,61.6,99.7
K1W7_BEL_FS11-14_Gap0.15_Fav0.35_all_midlate,7,BEL,11-14,0.15,0.35,all,midlate,154,43,79.53,27.92,771.58,61.19,174.18,10/13,0.769,28.51,99.3
K1W7_BEL_FS11-13_Gap0.10_Fav0.35_all_midlate,7,BEL,11-13,0.1,0.35,all,midlate,156,44,77.64,28.21,755.76,59.21,174.18,10/13,0.769,28.51,97.2
K1W7_BEL_FS11-13_Gap0.05_Fav0.35_all_midlate,7,BEL,11-13,0.05,0.35,all,midlate,157,44,76.5,28.03,755.76,59.21,163.63,10/13,0.769,28.51,93.1
K1W7_BEL_FS11-12_Gap0.20_Fav0.35_all_all,7,BEL,11-12,0.2,0.35,all,all,147,48,75.95,32.65,646.63,66.59,123.92,10/13,0.769,61.6,95.6
K1W7_BEL_FS11-12_Gap0.15_Fav0.35_all_midlate,7,BEL,11-12,0.15,0.35,all,midlate,148,42,75.64,28.38,742.73,54.36,185.6,10/13,0.769,28.51,96.6
K1W7_BEL_FS11-14_Gap0.10_Fav0.35_all_midlate,7,BEL,11-14,0.1,0.35,all,midlate,158,44,75.39,27.85,755.76,56.82,174.18,10/13,0.769,28.51,95.4
K1W7_BEL_FS11-14_Gap0.05_Fav0.35_all_midlate,7,BEL,11-14,0.05,0.35,all,midlate,159,44,74.28,27.67,755.76,56.82,163.63,10/13,0.769,28.51,91.4
K1W7_BEL_FS11-12_Gap0.20_Fav0.00_all_all,7,BEL,11-12,0.2,0.0,all,all,158,51,72.44,32.28,641.07,60.01,132.77,10/13,0.769,63.28,88.0
K1W7_BEL_FS11-12_Gap0.20_Fav0.30_all_all,7,BEL,11-12,0.2,0.3,all,all,158,51,72.44,32.28,641.07,60.01,132.77,10/13,0.769,63.28,88.0
K1W8_BEL_FS11-13_Gap0.22_Fav0.35_fast_all,8,BEL,11-13,0.22,0.35,fast,all,101,40,72.07,39.6,912.39,75.7,54.1,10/13,0.769,74.43,87.6
K1W7_BEL_FS11-12_Gap0.10_Fav0.35_all_midlate,7,BEL,11-12,0.1,0.35,all,midlate,152,43,71.44,28.29,727.21,50.03,185.6,10/13,0.769,28.51,92.4
K1W8_BEL_FS11-14_Gap0.22_Fav0.35_fast_all,8,BEL,11-14,0.22,0.35,fast,all,102,40,70.38,39.22,912.39,73.64,54.1,10/13,0.769,72.74,86.5
K1W7_BEL_FS11-12_Gap0.05_Fav0.35_all_midlate,7,BEL,11-12,0.05,0.35,all,midlate,153,43,70.32,28.1,727.21,50.03,174.18,10/13,0.769,28.51,88.3
K1W8_BEL_FS11-13_Gap0.22_Fav0.00_fast_all,8,BEL,11-13,0.22,0.0,fast,all,106,40,63.95,37.74,912.39,67.72,45.54,10/13,0.769,72.74,79.7
K1W8_BEL_FS11-13_Gap0.22_Fav0.30_fast_all,8,BEL,11-13,0.22,0.3,fast,all,106,40,63.95,37.74,912.39,67.72,45.54,10/13,0.769,72.74,79.7
K1W8_BEL_FS11-14_Gap0.22_Fav0.00_fast_all,8,BEL,11-14,0.22,0.0,fast,all,107,40,62.42,37.38,912.39,65.83,45.54,10/13,0.769,72.74,78.8
K1W8_BEL_FS11-14_Gap0.22_Fav0.30_fast_all,8,BEL,11-14,0.22,0.3,fast,all,107,40,62.42,37.38,912.39,65.83,45.54,10/13,0.769,72.74,78.8
K1W8_BEL_FS11-13_Gap0.20_Fav0.00_fast_midlate,8,BEL,11-13,0.2,0.0,fast,midlate,105,39,61.4,37.14,912.51,56.04,87.27,10/13,0.769,53.21,75.3
