Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay
Key1Win-8,56701,11907210,-2658598.88,-22.33,15283,26.95,605.16
Key1Win-7,75458,9054960,-2100837.9,-23.2,19021,25.21,365.6
Key1Win-6,90005,5400300,-1280923.46,-23.72,19511,21.68,211.13
Harville-Top120,90004,10800384,-2597716.52,-24.05,37790,41.99,217.06
ML-EV>=1.0_H6_FS5-7,16724,745926,-180215.35,-24.16,3909,23.37,144.72
ML-Top10_H6,42216,422153,-102726.64,-24.33,1243,2.94,256.98
ML-Top24_H6,42216,1013164,-250048.9,-24.68,3253,7.71,234.59
Key1Win-5,90005,2160120,-545290.49,-25.24,11565,12.85,139.63
ML-EV>=1.10_H6,39936,1749376,-444967.26,-25.44,4852,12.15,268.84
Box-7_FS10-11,17867,15008280,-3865476.61,-25.76,9158,51.26,1216.73
ML-EV>=1.0_H6_FS8-9,13798,1076681,-278515.03,-25.87,2510,18.19,317.99
Harville-Top50,90004,4500174,-1179070.69,-26.2,22925,25.47,144.87
ML-EV>=1.05_H6,40634,2262873,-598042.9,-26.43,6179,15.21,269.43
ML-Top50_H6,42216,2110735,-560651.39,-26.56,6836,16.19,226.75
ML-Top50_H8,42216,2110732,-562384.06,-26.64,5813,13.77,266.36
ML-EV>=0.95_H6,41281,3577561,-959000.08,-26.81,9394,22.76,278.75
ML-Top24_H8,42216,1013165,-274867.84,-27.13,2727,6.46,270.74
Box-5_FS5-7,33304,3996480,-1084809.72,-27.14,17089,51.31,170.38
Box-6_FS8-9,30937,11137320,-3025851.82,-27.17,15814,51.12,512.93
ML-EV>=1.00_H6,41037,2873274,-786647.4,-27.38,7671,18.69,272.01
Box-7_FS12-99,7897,6633480,-1841832.31,-27.77,3048,38.6,1572.06
Box-4_FS5-7,33304,799296,-225373.32,-28.2,6158,18.49,93.2
Box-5_FS8-9,30937,3712440,-1058863.33,-28.52,8482,27.42,312.85
Box5_FavMid,35831,4299720,-1234873.66,-28.72,9353,26.1,327.69
Harville-Top24,90004,2160096,-623328.12,-28.86,13968,15.52,110.02
Box-7_FS8-9,30937,25987080,-7519303.82,-28.93,23219,75.05,795.37
Box5_FastTrack,76047,9125640,-2669400.81,-29.25,25099,33.0,257.23
Box5_CompField,27379,3285480,-964986.51,-29.37,8156,29.79,284.51
Box-8,56701,95257680,-28115894.96,-29.52,45745,80.68,1467.74
Box5_Dirt,61314,7357680,-2172222.03,-29.52,21710,35.41,238.85
Box-5,90005,10800600,-3192890.18,-29.56,29564,32.85,257.33
Box-6_FS10-11,17867,6432120,-1906719.39,-29.64,5870,32.85,770.94
Box5_Turf,28691,3442920,-1020668.15,-29.65,7854,27.37,308.41
Box5_FavStrong,51474,6176880,-1839281.87,-29.78,19889,38.64,218.09
ML-EV>=1.0_H6_FS10-11,7351,702925,-210403.75,-29.93,949,12.91,518.99
Box5_SmallPool,2200,264000,-79352.35,-30.06,1069,48.59,172.73
Box5_BigPool,57355,6882600,-2070507.48,-30.08,16190,28.23,297.23
Box-6,90005,32401800,-9906048.51,-30.57,52147,57.94,431.39
Harville-Top6,90004,540024,-165354.87,-30.62,4779,5.31,78.4
Box-7,75458,63384720,-19488524.38,-30.75,54182,71.8,810.16
Box5_OffTrack,13458,1614960,-500710.47,-31.0,4317,32.08,258.11
NoFav-Box7,56701,47628840,-15214733.9,-31.94,10156,17.91,3191.62
Harville-Top1,90004,90004,-29936.13,-33.26,949,1.05,63.3
Box-6_FS5-7,33304,11989440,-4007179.25,-33.42,28574,85.8,279.35
Box-4,90005,2160120,-722643.88,-33.45,10200,11.33,140.93
Box-5_FS10-11,17867,2144040,-723531.16,-33.75,3028,16.95,469.12
ML-EV>=1.0_H6_FS12-99,3164,347742,-117513.27,-33.79,303,9.58,759.83
Box-4_FS8-9,30937,742488,-251501.07,-33.87,2783,9.0,176.42
Box-6_FS12-99,7897,2842920,-966298.05,-33.99,1889,23.92,993.45
NoFav-Box6,75458,27164880,-9319174.49,-34.31,9979,13.22,1788.33
Box-5_FS12-99,7897,947640,-325685.97,-34.37,965,12.22,644.51
NoFav-Box5,90005,10800600,-3829039.64,-35.45,7106,7.9,981.08
Box5_FavWeak,2700,324000,-118734.65,-36.65,322,11.93,637.47
Box-4_FS10-11,17867,428808,-166268.36,-38.77,959,5.37,273.76
Box-7_FS5-7,18757,15755880,-6261911.64,-39.74,18757,100.0,506.16
Box-4_FS12-99,7897,189528,-79501.13,-41.95,300,3.8,366.76
