variant,test_year,rule_id,score,races_factor,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
raw_r150,2015,CD_CORE_K8,5.499,0.94,True,True,15.6,141,0.6,-60.65,-3821.1
raw_r150,2015,CD_REFINED_K9,0.0,0.38,False,False,-10.5,57,0.6,90.41,2430.3
raw_r150,2016,CD_CORE_K8,0.8325,1.0,True,False,2.22,171,0.5,-8.87,-503.1
raw_r150,2016,CD_REFINED_K9,0.416,0.4333,True,False,1.92,65,0.67,179.28,5421.3
raw_r150,2017,CD_CORE_K8,0.2663,1.0,False,False,0.71,198,0.43,59.3,5603.7
raw_r150,2017,CD_REFINED_K9,7.2429,0.4933,True,True,23.49,74,0.71,-88.28,-4449.1
raw_r150,2018,CD_CORE_K8,5.78,1.0,True,False,11.56,243,0.5,-37.62,-2686.4
raw_r150,2018,CD_REFINED_K9,1.7244,0.5933,True,False,4.65,89,0.62,869.41,29212.3
raw_r150,2019,CD_CORE_K8,2.4531,1.0,False,False,5.52,277,0.44,-13.09,-1429.0
raw_r150,2019,CD_REFINED_K9,29.2181,0.66,True,True,92.0,99,0.67,11.64,352.1
raw_r150,2020,CD_CORE_K8,1.032,1.0,False,False,2.58,329,0.4,-16.34,-1166.6
raw_r150,2020,CD_REFINED_K9,33.1553,0.72,True,True,85.3,108,0.7,-73.78,-3222.8
raw_r150,2022,CD_CORE_K8,0.2945,1.0,False,False,0.81,363,0.36,32.23,2233.8
raw_r150,2022,CD_REFINED_K9,27.564,0.8067,True,True,68.21,121,0.64,80.95,2719.9
raw_r150,2023,CD_CORE_K8,1.4293,1.0,False,False,3.43,396,0.42,55.92,3405.58
raw_r150,2023,CD_REFINED_K9,34.6134,0.8733,True,True,69.19,131,0.67,-8.53,-114.6
raw_r150,2024,CD_CORE_K8,3.2351,1.0,False,False,7.01,425,0.46,45.65,3930.4
raw_r150,2024,CD_REFINED_K9,32.3811,0.9,True,True,66.88,135,0.62,-14.54,-586.1
raw_r150,2025,CD_CORE_K8,5.205,1.0,True,False,10.41,466,0.5,78.21,3120.61
raw_r150,2025,CD_REFINED_K9,30.3999,0.98,True,True,60.24,147,0.57,-61.12,-821.45
sqrt_r150,2015,CD_CORE_K8,1.3923,0.94,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_r150,2015,CD_REFINED_K9,0.0,0.38,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_r150,2016,CD_CORE_K8,0.5587,1.0,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_r150,2016,CD_REFINED_K9,0.3002,0.4333,True,False,1.92,65,0.67,179.28,5421.3
sqrt_r150,2017,CD_CORE_K8,0.316,1.0,False,False,0.71,198,0.43,59.3,5603.7
sqrt_r150,2017,CD_REFINED_K9,1.4944,0.4933,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_r150,2018,CD_CORE_K8,1.7,1.0,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt_r150,2018,CD_REFINED_K9,0.7997,0.5933,True,False,4.65,89,0.62,869.41,29212.3
sqrt_r150,2019,CD_CORE_K8,1.0441,1.0,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_r150,2019,CD_REFINED_K9,3.0462,0.66,True,True,92.0,99,0.67,11.64,352.1
sqrt_r150,2020,CD_CORE_K8,0.6425,1.0,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_r150,2020,CD_REFINED_K9,3.5899,0.72,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_r150,2022,CD_CORE_K8,0.3272,1.0,False,False,0.81,363,0.36,32.23,2233.8
sqrt_r150,2022,CD_REFINED_K9,3.3375,0.8067,True,True,68.21,121,0.64,80.95,2719.9
sqrt_r150,2023,CD_CORE_K8,0.7717,1.0,False,False,3.43,396,0.42,55.92,3405.58
sqrt_r150,2023,CD_REFINED_K9,4.1612,0.8733,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_r150,2024,CD_CORE_K8,1.2219,1.0,False,False,7.01,425,0.46,45.65,3930.4
sqrt_r150,2024,CD_REFINED_K9,3.9595,0.9,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_r150,2025,CD_CORE_K8,1.6132,1.0,True,False,10.41,466,0.5,78.21,3120.61
sqrt_r150,2025,CD_REFINED_K9,3.9168,0.98,True,True,60.24,147,0.57,-61.12,-821.45
sqrt_r250,2015,CD_CORE_K8,0.8354,0.564,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_r250,2015,CD_REFINED_K9,0.0,0.228,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_r250,2016,CD_CORE_K8,0.3822,0.684,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_r250,2016,CD_REFINED_K9,0.1801,0.26,True,False,1.92,65,0.67,179.28,5421.3
sqrt_r250,2017,CD_CORE_K8,0.2503,0.792,False,False,0.71,198,0.43,59.3,5603.7
sqrt_r250,2017,CD_REFINED_K9,0.8966,0.296,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_r250,2018,CD_CORE_K8,1.6524,0.972,True,True,11.56,243,0.5,-37.62,-2686.4
