variant,test_year,rule_id,score,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
raw|strict,2015,CD_CORE_K8,5.499,True,True,15.6,141,0.6,-60.65,-3821.1
raw|strict,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
raw|strict,2016,CD_CORE_K8,0.8325,True,False,2.22,171,0.5,-8.87,-503.1
raw|strict,2016,CD_REFINED_K9,0.416,True,False,1.92,65,0.67,179.28,5421.3
raw|strict,2017,CD_CORE_K8,0.2663,False,False,0.71,198,0.43,59.3,5603.7
raw|strict,2017,CD_REFINED_K9,7.2429,True,True,23.49,74,0.71,-88.28,-4449.1
raw|strict,2018,CD_CORE_K8,5.78,True,False,11.56,243,0.5,-37.62,-2686.4
raw|strict,2018,CD_REFINED_K9,1.7244,True,False,4.65,89,0.62,869.41,29212.3
raw|strict,2019,CD_CORE_K8,2.4531,False,False,5.52,277,0.44,-13.09,-1429.0
raw|strict,2019,CD_REFINED_K9,29.2181,True,True,92.0,99,0.67,11.64,352.1
raw|strict,2020,CD_CORE_K8,1.032,False,False,2.58,329,0.4,-16.34,-1166.6
raw|strict,2020,CD_REFINED_K9,33.1553,True,True,85.3,108,0.7,-73.78,-3222.8
raw|strict,2022,CD_CORE_K8,0.2945,False,False,0.81,363,0.36,32.23,2233.8
raw|strict,2022,CD_REFINED_K9,27.564,True,True,68.21,121,0.64,80.95,2719.9
raw|strict,2023,CD_CORE_K8,1.4293,False,False,3.43,396,0.42,55.92,3405.58
raw|strict,2023,CD_REFINED_K9,34.6134,True,True,69.19,131,0.67,-8.53,-114.6
raw|strict,2024,CD_CORE_K8,3.2351,False,False,7.01,425,0.46,45.65,3930.4
raw|strict,2024,CD_REFINED_K9,32.3811,True,True,66.88,135,0.62,-14.54,-586.1
raw|strict,2025,CD_CORE_K8,5.205,True,False,10.41,466,0.5,78.21,3120.61
raw|strict,2025,CD_REFINED_K9,30.3999,True,True,60.24,147,0.57,-61.12,-821.45
raw|relaxed_n150,2015,CD_CORE_K8,5.499,True,True,15.6,141,0.6,-60.65,-3821.1
raw|relaxed_n150,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
raw|relaxed_n150,2016,CD_CORE_K8,0.8325,True,False,2.22,171,0.5,-8.87,-503.1
raw|relaxed_n150,2016,CD_REFINED_K9,0.416,True,False,1.92,65,0.67,179.28,5421.3
raw|relaxed_n150,2017,CD_CORE_K8,0.2663,True,False,0.71,198,0.43,59.3,5603.7
raw|relaxed_n150,2017,CD_REFINED_K9,7.2429,True,True,23.49,74,0.71,-88.28,-4449.1
raw|relaxed_n150,2018,CD_CORE_K8,5.78,True,False,11.56,243,0.5,-37.62,-2686.4
raw|relaxed_n150,2018,CD_REFINED_K9,1.7244,True,False,4.65,89,0.62,869.41,29212.3
raw|relaxed_n150,2019,CD_CORE_K8,2.4531,True,False,5.52,277,0.44,-13.09,-1429.0
raw|relaxed_n150,2019,CD_REFINED_K9,29.2181,True,True,92.0,99,0.67,11.64,352.1
raw|relaxed_n150,2020,CD_CORE_K8,1.032,True,False,2.58,329,0.4,-16.34,-1166.6
raw|relaxed_n150,2020,CD_REFINED_K9,33.1553,True,True,85.3,108,0.7,-73.78,-3222.8
raw|relaxed_n150,2022,CD_CORE_K8,0.2945,True,False,0.81,363,0.36,32.23,2233.8
raw|relaxed_n150,2022,CD_REFINED_K9,27.564,True,True,68.21,121,0.64,80.95,2719.9
raw|relaxed_n150,2023,CD_CORE_K8,1.4293,True,False,3.43,396,0.42,55.92,3405.58
raw|relaxed_n150,2023,CD_REFINED_K9,34.6134,True,True,69.19,131,0.67,-8.53,-114.6
raw|relaxed_n150,2024,CD_CORE_K8,3.2351,True,False,7.01,425,0.46,45.65,3930.4
raw|relaxed_n150,2024,CD_REFINED_K9,32.3811,True,True,66.88,135,0.62,-14.54,-586.1
raw|relaxed_n150,2025,CD_CORE_K8,5.205,True,False,10.41,466,0.5,78.21,3120.61
raw|relaxed_n150,2025,CD_REFINED_K9,30.3999,True,True,60.24,147,0.57,-61.12,-821.45
sqrt|strict,2015,CD_CORE_K8,1.3923,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt|strict,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
sqrt|strict,2016,CD_CORE_K8,0.5587,True,False,2.22,171,0.5,-8.87,-503.1
sqrt|strict,2016,CD_REFINED_K9,0.3002,True,False,1.92,65,0.67,179.28,5421.3
sqrt|strict,2017,CD_CORE_K8,0.316,False,False,0.71,198,0.43,59.3,5603.7
sqrt|strict,2017,CD_REFINED_K9,1.4944,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt|strict,2018,CD_CORE_K8,1.7,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt|strict,2018,CD_REFINED_K9,0.7997,True,False,4.65,89,0.62,869.41,29212.3
sqrt|strict,2019,CD_CORE_K8,1.0441,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt|strict,2019,CD_REFINED_K9,3.0462,True,True,92.0,99,0.67,11.64,352.1
sqrt|strict,2020,CD_CORE_K8,0.6425,False,False,2.58,329,0.4,-16.34,-1166.6
